Codice;Prezzo;Unità
106091;6.94;1
106095;15.28;1
106096;15.12;1
106097;15.28;1
106099;3.63;1
10610;5.35;1
106100;9.72;1
106101;9.72;1
106113;115.01;1
106116;31.80;1
106117;31.80;1
106118;27.70;1
106119;37.38;1
10612;3.07;1
106120;37.38;1
106121;37.08;1
106122;37.08;1
106123;53.91;1
106124;48.21;1
106125;48.21;1
106126;49.72;1
106127;58.24;1
106128;58.24;1
106129;74.62;1
10613;1.38;1
106130;65.85;1
106131;65.85;1
106132;79.87;1
106133;74.48;1
106134;74.48;1
106135;108.67;1
106136;30.31;1
106137;30.31;1
106138;25.46;1
106139;36.40;1
10614;3.42;1
106140;36.40;1
106143;5.63;1
106144;5.63;1
106145;13.97;1
106146;15.19;1
106147;12.91;1
106148;61.04;1
106149;61.04;1
10615;1.02;1
106156;18.13;1
106157;15.12;1
106158;3.27;1
106159;3.27;1
106164;15.28;1
106165;15.12;1
106166;22.53;1
106167;15.12;1
106168;15.12;1
10617;4.13;1
106177;43.59;1
106178;43.59;1
106179;15.36;1
10618;4.13;1
106180;15.36;1
10620;0.68;1
106204;15.17;1
106223;3.65;1
106224;2.30;1
106225;2.30;1
106241;25.52;1
106242;9.04;1
106243;9.04;1
106247;149.45;1
106249;10.67;1
106258;3.65;1
106271;43.50;1
106272;43.50;1
106273;57.91;1
106281;62.90;1
106282;62.90;1
106283;85.43;1
106285;9.09;1
106286;9.09;1
106287;25.67;1
106293;37.30;1
106358;54.24;1
106359;51.65;1
106360;47.37;1
106361;46.37;1
106362;55.32;1
106363;47.30;1
106364;47.30;1
106365;62.38;1
106373;5.03;1
106374;4.57;1
106375;5.76;1
106385;5.02;1
106386;0.60;1
106393;54.59;1
10703;4.98;1
10706;14.53;1
10711;18.94;1
10713;44.08;1
10714;45.74;1
107171;3.06;1
10720;19.93;1
10721;10.88;1
10722;10.88;1
10735;11.22;1
10737;7.48;1
10757;1.18;1
10759;3.43;1
10791;5.22;1
10795;9.37;1
10804;3.30;1
108041;4.93;1
108044;5.48;1
108050;8.17;1
108302;20.22;1
108305;24.51;1
108308;20.22;1
108329;7.37;1
108335;9.12;1
108410;8.19;1
108413;8.46;1
108419;11.18;1
108422;11.56;1
108428;13.65;1
108431;14.12;1
108455;34.46;1
10859;3.61;1
10860;2.54;1
10862;2.74;1
10865;2.62;1
10867;2.83;1
10868;3.02;1
10870;3.27;1
10871;3.11;1
108716;44.78;1
108728;44.44;1
10873;3.36;1
10874;3.19;1
10876;3.45;1
10890;1.73;1
10891;1.73;1
10892;2.14;1
10893;2.14;1
10898;8.46;100
10901;12.97;1
10902;12.97;1
10920;3.30;1
10928;0.90;1
10943;3.26;1
10944;3.03;1
10945;3.30;1
10976;44.94;1
10978;62.01;1
10992;2.94;1
11011;51.13;1
11012;60.49;1
11013;69.79;1
11025;94.74;1
11026;2.48;1
11027;3.11;1
11029;5.59;1
11032;10.76;1
11052;0.90;1
11072;19.07;1
11073;19.07;1
11074;19.07;1
11075;14.41;1
11100;0.68;1
11101;3.42;1
11111;0.68;1
111455;30.72;1
11153;1.96;1
11154;80.43;100
11155;66.71;100
11156;5.31;1
11185;4.23;100
11186;6.54;100
11195;7.52;1
11202;3.66;1
11203;3.62;1
11207;44.61;100
11208;44.61;100
11237;14.82;1
11238;14.38;1
11239;15.86;1
11241;13.00;1
11242;18.24;1
11243;4.16;1
11244;5.23;1
11248;7.40;1
11249;7.40;1
11251;14.14;1
11252;14.14;1
11262;3.72;1
11280;31.79;1
11316;15.74;1
11411;14.82;1
11412;14.38;1
11413;15.86;1
11415;13.00;1
11416;15.86;1
11420;13.00;1
11421;15.86;1
11429;3.99;1
11431;44.61;100
11432;53.07;100
11433;57.30;100
11434;6.54;100
11459;3.99;1
11470;1.87;1
11471;3.25;1
11472;2.85;1
11473;2.85;1
11505;14.82;1
11506;15.86;1
11507;18.24;1
11508;14.82;1
11509;14.38;1
11520;15.86;1
11521;15.86;1
11523;14.82;1
11531;16.54;1
11532;13.00;1
11534;15.86;1
11535;15.86;1
11540;14.82;1
11541;14.38;1
11583;3.26;1
11659;46.65;1
11781;2.61;1
11804;6.79;1
11888;94.74;1
11889;94.74;1
12067;2.69;1
12068;2.69;1
12069;6.09;1
12070;6.57;1
123437;9.12;1
12360;10.25;1
12361;10.25;1
12381;14.62;1
12387;2.06;1
12388;3.92;1
12472;21.54;100
12473;27.69;100
12474;32.31;100
12506;9.23;1
12537;2.08;1
12545;63.84;100
12577;33.07;100
12578;31.54;100
12579;31.54;100
127652;16.49;100
12949;1.64;1
12960;60.76;100
12961;63.46;100
13003;4.76;1
13004;4.76;1
13009;11.90;1
13029;9.23;1
130391;7.27;100
13058;3.67;1
13059;3.77;1
13060;3.89;1
13065;3.67;1
13068;1.27;1
13074;2.71;1
13095;4.68;1
13096;4.68;1
13110;3.41;1
13111;4.11;1
13130;3.74;1
13168;16.78;1
13169;17.80;1
13170;18.64;1
13235;71.30;100
13236;71.30;100
13267;5.50;1
13273;5.74;1
13308;3.58;1
13318;1.56;1
13322;31.02;1
13323;38.10;1
13324;49.92;1
13325;57.21;1
13326;63.62;1
13327;103.58;100
13328;103.58;100
13343;85.32;1
13344;85.90;1
13354;65.99;100
13355;65.99;100
133586;85.20;1
133937;22.54;1
133940;27.33;1
133943;22.79;1
133958;8.66;1
134060;24.52;1
134063;29.74;1
134066;24.52;1
134072;24.52;1
139436;56.11;1
139445;56.11;1
14000;1.95;1
14003;2.03;1
14008;3.07;1
14011;3.20;1
14017;6.12;1
14019;6.86;1
14021;2.08;1
14022;12.69;100
14024;2.31;1
14025;2.16;1
14026;1.00;1
14027;4.28;1
14030;4.28;1
14033;4.23;1
14034;5.97;1
14036;3.60;1
14040;3.86;1
14044;10.62;1
14048;11.26;1
14052;4.18;1
14056;4.18;1
14060;4.49;1
14064;4.36;1
14068;3.53;1
14072;5.04;1
14074;3.02;1
14076;1.73;1
14080;4.18;1
14084;4.18;1
14088;3.91;1
14090;3.58;1
14092;3.95;1
14094;4.81;1
14096;2.77;1
14100;10.54;1
14120;4.78;1
14128;6.96;1
14132;6.96;1
14136;2.22;1
14140;2.42;1
14142;5.83;1
14144;2.98;1
14146;6.39;1
14148;3.57;1
14150;4.43;1
14151;10.16;1
14154;4.25;1
14166;13.71;1
14170;5.97;1
14174;13.40;1
14176;94.28;100
14204;5.03;1
14206;6.18;1
14208;5.26;1
14210;1.66;1
14212;3.34;1
14214;71.64;100
14216;3.27;1
14224;15.84;1
14228;16.80;1
14232;17.59;1
14248;3.19;1
14252;3.83;1
14268;3.31;1
14312;5.04;1
14316;3.77;1
14336;3.59;1
14340;10.71;1
14344;4.40;1
14348;4.40;1
14356;3.54;1
14360;4.57;1
14364;4.94;1
14384;4.63;1
14462;3.49;1
14466;4.83;1
14470;5.14;1
14474;3.13;1
14501;18.90;1
14503;20.02;1
14504;19.69;1
14506;20.87;1
14507;20.81;1
14509;22.04;1
14510;21.03;1
14512;22.28;1
14513;6.85;1
14533;0.90;1
14604;22.85;1
14605;17.29;1
14607;22.85;1
14653;42.58;1
14687;42.58;1
14721;15.86;1
14727;16.61;1
14755;18.29;1
14756;16.61;1
14757;14.95;1
14759;17.03;1
14764;14.95;1
14767;17.03;1
149395;89.19;1
149401;80.33;1
149413;175.94;1
156737;19.02;1
168809;26.36;1
168812;27.28;1
168821;36.48;1
168839;13.04;1
168842;13.49;1
168851;16.50;1
168869;8.79;1
168872;9.09;1
168881;12.16;1
170759;52.35;1
170786;60.67;1
170795;43.72;1
171035;9.20;1
171038;9.47;1
171044;15.57;1
172864;14.94;1
173002;31.18;1
173005;32.15;1
173008;43.87;1
173056;19.73;1
173059;20.34;1
173062;28.28;1
173083;38.75;1
173086;39.99;1
173089;41.59;1
173272;21.58;1
173323;14.67;1
173326;20.65;1
173329;38.41;1
173353;69.56;1
173368;57.94;1
173416;56.03;1
173419;57.94;1
173422;60.43;1
175344;48.48;1
175347;48.48;1
175350;58.77;1
175353;48.67;1
175356;48.67;1
175359;59.01;1
175362;50.57;1
175365;50.57;1
175368;61.30;1
175371;52.76;1
175374;52.76;1
175377;63.95;1
176337;9.35;100
179507;27.77;1
179608;12.85;1
179611;12.85;1
184307;33.04;1
184313;36.85;1
184319;40.66;1
184325;44.47;1
184578;4.57;1
184581;17.96;1
184584;23.11;1
184587;37.60;1
184695;8.21;1
184707;4.50;1
184725;6.97;1
184737;6.97;1
184767;4.72;1
184779;4.72;1
184785;4.72;1
184797;4.73;1
185188;12.85;1
186934;2.81;1
186955;20.24;1
187477;2.23;1
187480;2.23;1
188708;31.77;1
189481;4.73;1
189487;6.97;1
190510;20.15;1
190513;20.15;1
190516;19.06;1
190519;19.06;1
190588;4.72;1
193720;82.86;1
193953;312.52;1
193956;322.23;1
193959;334.70;1
193962;442.91;1
193965;456.66;1
193968;474.34;1
194124;76.51;1
194130;76.51;1
195419;30.07;1
195425;33.54;1
195431;37.01;1
196202;27.72;1
196538;2.90;1
197764;21.76;1
197767;21.76;1
198948;81.97;1
199402;8.31;1
199408;8.31;1
200543;44.47;100
200906;2.28;1
200981;7.84;1
200982;7.84;1
200983;5.21;1
200984;6.98;1
200985;7.74;1
200986;8.75;1
200987;9.51;1
201016;1.83;1
201017;1.83;1
201168;0.90;1
201184;8.61;1
201313;1.30;1
201314;1.38;1
201499;3.31;1
201601;1.65;1
201730;1.54;1
201731;1.73;1
201732;1.96;1
201733;2.21;1
201734;2.45;1
201735;2.51;1
201736;2.66;1
201737;2.95;1
201738;3.24;1
201739;3.57;1
201740;4.46;1
201741;4.46;1
201742;4.23;1
201743;2.95;1
201744;3.24;1
201745;3.57;1
201746;1.70;1
201747;2.29;1
201748;3.48;1
201749;5.91;1
201750;2.17;1
201751;1.10;1
201752;1.26;1
201753;1.69;1
201754;2.40;1
201755;2.55;1
